experiment	score	status	description
exp_074	0.000000	revert	score=0.000 folds=[0,0,0,0,0] exact-chain baseline attempt — zero trades all folds
exp_075	0.000000	revert	score=0.000 folds=[0,0,0,0,0] decouple gate from selection — still zero trades
exp_076	-0.040000	revert	score=-0.040 folds=[0,0,0,-0.2,0] gate_threshold=-100 (disable absolute threshold) — 1 fold fires
exp_077	-0.300000	revert	score=-0.300 folds=[-0.3,-0.3,-0.3,-0.3,-0.3] SEL_W=0 drop selection CE — negative all folds
exp_078	-0.740000	revert	score=-0.740 folds=[-1,-0.5,-1,-1,-0.2] PNL_W=5.0 stronger P&L regression — negative edge
exp_099	-0.260000	revert	official: GATE_FAILURE folds=[-0.30,-0.30,-0.20,-0.30,-0.20] win_rate=0.3472727272727273 profit_factor=0.6947861161199185 positive_day_rate=0.13333333333333333
exp_104	-0.240000	revert	official: GATE_FAILURE folds=[-0.20,-0.30,-0.30,-0.20,-0.20] win_rate=0.2992957746478873 profit_factor=0.5481179775061845 positive_day_rate=0.25
exp_106	-0.260000	revert	official: GATE_FAILURE folds=[-0.20,-0.30,-0.20,-0.30,-0.30] win_rate=0.387434554973822 profit_factor=0.8899458399379755 positive_day_rate=0.5
exp_122	0.190734	revert	official: GATE_FAILURE folds=[-0.20,-0.37,1.93,-0.20,-0.20] win_rate=0.3181818181818182 profit_factor=0.5683619403799742 positive_day_rate=0.25925925925925924
exp_125	-0.200000	revert	official: GATE_FAILURE folds=[-0.20,-0.20,-0.20,-0.20,-0.20] win_rate=0.36666666666666664 profit_factor=0.8732881294224357 positive_day_rate=0.3684210526315789
exp_133	-0.161284	keep	official: folds=[-0.20,-0.20,-0.20,-0.20,-0.01] win_rate=0.40816326530612246 profit_factor=0.9974354328070411 positive_day_rate=0.543859649122807
exp_137	0.183903	revert	official: GATE_FAILURE folds=[-0.20,-0.20,-0.20,1.72,-0.20] win_rate=0.34959349593495936 profit_factor=0.7051802972899948 positive_day_rate=0.4339622641509434
exp_139	-0.120514	keep	official: folds=[-0.20,-0.20,-0.20,-0.20,0.20] win_rate=0.453416149068323 profit_factor=1.1417033184456553 positive_day_rate=0.5
exp_140	0.149526	keep	official: folds=[0.08,-0.20,-0.20,-0.20,1.27] win_rate=0.39204545454545453 profit_factor=1.2010855277126113 positive_day_rate=0.5172413793103449
exp_142	-0.134554	revert	official: GATE_FAILURE folds=[0.13,-0.20,-0.20,-0.20,-0.20] win_rate=0.3595505617977528 profit_factor=1.080838467622863 positive_day_rate=0.5263157894736842
exp_143	-0.095100	revert	official: GATE_FAILURE folds=[0.32,-0.20,-0.20,-0.20,-0.20] win_rate=0.3611111111111111 profit_factor=1.0513857490741303 positive_day_rate=0.49122807017543857
exp_144	0.547181	keep	official: folds=[0.18,-0.20,-0.20,-0.20,3.16] win_rate=0.391304347826087 profit_factor=1.3561301015004272 positive_day_rate=0.5344827586206896
exp_145	0.074587	revert	official: folds=[-0.05,-0.20,-0.20,-0.20,1.02] win_rate=0.36464088397790057 profit_factor=1.1657591364390452 positive_day_rate=0.4642857142857143
